,goal_dist_euclid.mean,goal_dist_euclid.std,goal_dist_euclid.max,goal_dist_euclid.min,goal_dist_euclid.median,goal_dist_euclid.kurtosis,goal_dist_euclid.skewness,goal_dist_euclid.sum,goal_dist_euclid.len,goal_dist_manh.mean,goal_dist_manh.std,goal_dist_manh.max,goal_dist_manh.min,goal_dist_manh.median,goal_dist_manh.kurtosis,goal_dist_manh.skewness,goal_dist_manh.sum,goal_dist_manh.len,goal_radial_dist.mean,goal_radial_dist.std,goal_radial_dist.max,goal_radial_dist.min,goal_radial_dist.median,goal_radial_dist.kurtosis,goal_radial_dist.skewness,goal_radial_dist.sum,goal_radial_dist.len,trap_dist_euclid.mean,trap_dist_euclid.std,trap_dist_euclid.max,trap_dist_euclid.min,trap_dist_euclid.median,trap_dist_euclid.kurtosis,trap_dist_euclid.skewness,trap_dist_euclid.sum,trap_dist_euclid.len,trap_dist_manh.mean,trap_dist_manh.std,trap_dist_manh.max,trap_dist_manh.min,trap_dist_manh.median,trap_dist_manh.kurtosis,trap_dist_manh.skewness,trap_dist_manh.sum,trap_dist_manh.len,trap_radial_dist.mean,trap_radial_dist.std,trap_radial_dist.max,trap_radial_dist.min,trap_radial_dist.median,trap_radial_dist.kurtosis,trap_radial_dist.skewness,trap_radial_dist.sum,trap_radial_dist.len,SARSA,MCCONTROL,QLEARNING,DQLEARNING
0,10.509573,4.852719,15.362291,5.656854,10.509573,-2.000000,-0.000000,21.019146,2,21.000000,9.000000,30.000000,12.000000,21.000000,-2.000000,0.000000,42.000000,2,5.656854,0.000000,5.656854,5.656854,5.656854,-3.000000,0.000000,5.656854,1,31.678872,14.796929,46.475800,16.881943,31.678872,-2.000000,-0.000000,63.357743,2,140.500000,63.500000,204.000000,77.000000,140.500000,-2.000000,0.000000,281.000000,2,,,,,,,,0.000000,0,0.996000,0.996000,0.996000,0.996000
1,12.653529,4.109525,16.763055,8.544004,12.653529,-2.000000,-0.000000,25.307058,2,16.000000,5.000000,21.000000,11.000000,16.000000,-2.000000,0.000000,32.000000,2,8.544004,0.000000,8.544004,8.544004,8.544004,-3.000000,0.000000,8.544004,1,34.821794,18.451088,53.272882,16.370706,34.821794,-2.000000,-0.000000,69.643588,2,129.000000,71.000000,200.000000,58.000000,129.000000,-2.000000,0.000000,258.000000,2,,,,,,,,0.000000,0,0.993000,0.991000,0.993000,-2.000000
2,18.521728,4.737679,23.259407,13.784049,18.521728,-2.000000,0.000000,37.043455,2,34.500000,10.500000,45.000000,24.000000,34.500000,-2.000000,0.000000,69.000000,2,,,,,,,,0.000000,0,43.751711,1.337091,45.088801,42.414620,43.751711,-2.000000,0.000000,87.503421,2,178.000000,7.000000,185.000000,171.000000,178.000000,-2.000000,0.000000,356.000000,2,,,,,,,,0.000000,0,0.995000,0.995000,0.995000,0.995000
3,11.511358,10.511358,22.022716,1.000000,11.511358,-2.000000,0.000000,23.022716,2,16.000000,15.000000,31.000000,1.000000,16.000000,-2.000000,0.000000,32.000000,2,1.000000,0.000000,1.000000,1.000000,1.000000,-3.000000,0.000000,1.000000,1,28.993997,7.130786,36.124784,21.863211,28.993997,-2.000000,-0.000000,57.987995,2,78.500000,20.500000,99.000000,58.000000,78.500000,-2.000000,0.000000,157.000000,2,,,,,,,,0.000000,0,-2.000000,-1.002000,-2.000000,-2.000000
4,10.000000,2.000000,12.000000,8.000000,10.000000,-2.000000,0.000000,20.000000,2,10.000000,2.000000,12.000000,8.000000,10.000000,-2.000000,0.000000,20.000000,2,8.000000,0.000000,8.000000,8.000000,8.000000,-3.000000,0.000000,8.000000,1,61.136415,25.205927,86.342342,35.930488,61.136415,-2.000000,0.000000,122.272830,2,258.000000,107.000000,365.000000,151.000000,258.000000,-2.000000,0.000000,516.000000,2,,,,,,,,0.000000,0,-2.000000,-2.000000,-2.000000,-2.000000
5,5.338310,1.732758,7.071068,3.605551,5.338310,-2.000000,-0.000000,10.676619,2,6.500000,1.500000,8.000000,5.000000,6.500000,-2.000000,0.000000,13.000000,2,3.605551,0.000000,3.605551,3.605551,3.605551,-3.000000,0.000000,3.605551,1,27.731249,1.406356,29.137605,26.324893,27.731249,-2.000000,0.000000,55.462498,2,124.000000,3.000000,127.000000,121.000000,124.000000,-2.000000,0.000000,248.000000,2,,,,,,,,0.000000,0,0.998000,0.998000,0.998000,0.998000
6,14.451995,6.902161,21.354157,7.549834,14.451995,-2.000000,0.000000,28.903991,2,24.500000,11.500000,36.000000,13.000000,24.500000,-2.000000,0.000000,49.000000,2,7.549834,0.000000,7.549834,7.549834,7.549834,-3.000000,0.000000,7.549834,1,18.161320,8.727339,26.888659,9.433981,18.161320,-2.000000,-0.000000,36.322640,2,52.000000,23.000000,75.000000,29.000000,52.000000,-2.000000,0.000000,104.000000,2,,,,,,,,0.000000,0,-2.000000,-1.002000,-2.000000,-2.000000
7,19.194010,11.383760,30.577770,7.810250,19.194010,-2.000000,-0.000000,38.388019,2,35.000000,22.000000,57.000000,13.000000,35.000000,-2.000000,0.000000,70.000000,2,7.810250,0.000000,7.810250,7.810250,7.810250,-3.000000,0.000000,7.810250,1,46.706764,9.923616,56.630381,36.783148,46.706764,-2.000000,0.000000,93.413529,2,162.000000,41.000000,203.000000,121.000000,162.000000,-2.000000,0.000000,324.000000,2,,,,,,,,0.000000,0,0.996000,-2.000000,0.996000,0.996000
8,7.655126,4.049574,11.704700,3.605551,7.655126,-2.000000,-0.000000,15.310251,2,10.000000,5.000000,15.000000,5.000000,10.000000,-2.000000,0.000000,20.000000,2,3.605551,0.000000,3.605551,3.605551,3.605551,-3.000000,0.000000,3.605551,1,36.154736,2.198882,38.353618,33.955854,36.154736,-2.000000,0.000000,72.309472,2,172.000000,7.000000,179.000000,165.000000,172.000000,-2.000000,0.000000,344.000000,2,,,,,,,,0.000000,0,-2.000000,0.994000,-2.000000,-2.000000
9,25.884519,8.306123,34.190642,17.578396,25.884519,-2.000000,0.000000,51.769038,2,42.000000,17.000000,59.000000,25.000000,42.000000,-2.000000,0.000000,84.000000,2,,,,,,,,0.000000,0,56.956277,6.706899,63.663176,50.249378,56.956277,-2.000000,0.000000,113.912554,2,220.000000,23.000000,243.000000,197.000000,220.000000,-2.000000,0.000000,440.000000,2,,,,,,,,0.000000,0,-2.000000,-1.005000,-2.000000,-2.000000
